lenderid,name,rssdid,Non-us
L0413,BQ SUDAMERIS,,
L0414,BQ FRANCO-ALLEMANDE SA,,
L0415,BQ FRANCO-PORTUGAISE,,
L0416,BQ FRANCO-ROUMAINE SA,,
L0417,BQ GENERALE DU LUXEMBOURG SA,,
L0418,BANQUE HERVET,,
L0419,BQ DE L'INDOCHINE & DE SUEZ,,
L0420,BANQUE INTERCONTINENTALE ARABE,,
L0421,BQ INT. A LUXEMBOURG SA,,
L0422,BANQUE INTERNATIONALE ARABE,,
L0423,BANQUE INTERNATIONALE DE COMMERCE (BOOKS),,
L0424,BANQUE INTERNATIONALE GESTION ET DE TRESORERIE,,
L0425,BANQUE INTERCONTINENTALE DE MONACO RICHARD DAUS,,
L0426,BANQUE INTERNATIONAL DE PLACEMENT,,
L0427,BQ INT. POUR L'AFRIQUE OCCIDENTALE SA,,
L0428,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DU CAMEROUN,,
L0429,BQ INT. POUR FIN. L'ENERGIE NUCLEAIRE,,
L0430,BANQUE IPPA,,
L0431,BANQUE LAMBERT S.C.S.,,
L0432,BANQUE LIBANO-FRANCAISE,,
L0433,BQ LOUIS-DREYFUS,,
L0434,BQ MAROCAINE DU COMMERCE EXTERIEUR,,
L0436,BQ NORDEUROPE SA,,
L0437,BANQUE PETROFIGAZ,,
L0438,BANQUES POPULAIRES,,
L0439,BANQUE PRIVEE DE GESTION,,
L0440,BQ REGIONALE D'ESCOMPTE ET DE DEPOTS,,
L0441,BQ RIVAUD SA,,
L0442,BQ ROTHSCHILD,,
L0443,BQ SCANDINAVE EN SUISSE,,
L0444,BANQUE TRANSATLANTIQUE,,
L0445,BANQUE UCL SA,,
L0446,BANQUE VERNES ET COMMERCIALE DE PARIS,,
L0447,BQ VEUVE MORINS-PONS SA,,
L0448,BANQUE WEDGE,,
L0449,BANQUE WORMS,,
L0450,BARBADOS NATIONAL BANK,,
L0452,BARING BROTHERS & CO. LTD.,,
L0453,BASTOGI INTERNATIONAL LTD,,
L0454,BAYBANK BOSTON,,
L0455,BAYERISCHE HYPOTHEKEN,,
L0456,BAYERISCHE LANDESBK GIROZENTRALE,,
L0457,BAYERISCHE VEREINSBANK AG,,
L0458,BBI,,
L0460,BCI,,
L0461,BCOM FINANCE,,
L0462,BEAL,,
L0463,BEC,,
L0464,BEG BANK,,
L0465,BEII,,
L0466,BELGAMANCHE,,
L0467,BELGIAN BANK,,
L0468,BELGIAN FINANCE CO LTD,,
L0469,BENEFICIAL LEASING PTY,,
L0470,BEQ BANK,,
L0471,BERGEN BANK,,
L0473,BERGENS PRIVATBANK,,
L0474,BERLINER BANK AG,,
L0475,BERLINER HANDELS & FRANKFURTER BANK,,
L0477,BHF-BANK-DGK INT.,,
L0478,BIAO,,
L0480,BIGT,,
L0481,BIKUBEN SAVINGS BANK,,
L0482,BILBAO INTERNATIONAL BANK (JERSEY),,
L0483,BILL ACCEPTANCE CORP,,
L0484,BIMP,,
L0485,BISHOPS INT. BANK LTD,,
L0486,BLYTH EASTMAN DILLON & CO INT. LTD,,
L0487,BLYTH EASTMAN PAINE WEBBER INT. LTD,,
L0488,BMCE,,
L0489,BOLSA,,
L0490,BONDERNES BANK MIDDEN,,
L0491,BOOK CLUB FINANCE & SECURITIES CO,,
L0492,BOSTON AUSTRALIA LTD,,
L0493,BP FINANCE INTERNATION,,
L0494,BPI INVESTMENT CORP,,
L0495,BRASILIAN-AMERICAN MERCHANT BANK,,
L0496,BREMER LANDESBANK,,
L0497,BRITISH & COMMONWEALTH MERCHANT BANK,,
L0498,BRITISH BANK OF THE MIDDLE EAST,,
L0499,BRITISH COLUMBIA FIN. CORP (HKG.) LTD,,
L0500,BRITISH LINEN BANK LTD,,
L0502,"BROWN, SHIPLEY & CO LTD",,
L0503,BSFE,,
L0504,BT ASIA LTD,,
L0505,BT AUSTRALIA,,
L0506,BT BANK OF CANADA,,
L0507,B.T. CAPITAL SERVICES LTD.,,
L0508,BT COMMERCIAL CO,,
L0510,BUE ASIA,,
L0511,BUMIPUTRA MERCHANT BANKERS BHD,,
L0512,BURGAN BANK SAK (KUWAIT),,
L0513,BURKE FINANCIAL SERVICES,,
L0514,BURMAH GROUP TREASURY,,
L0516,BUSKERUDBANKEN,,
L0517,BUTLER SECURITIES,,
L0518,BULTER TILL,,
L0519,C ITOH,,
L0520,CAISSE CENTRALE DES BOS POPULAIRES,,
L0521,CAISSE CENTRALE DES JARDINS DU QUEBEC,,
L0522,CAISSE CENTRALE DU CREDIT MUTUEL,,
L0523,CAISSE D'EPARGNE DE I'ETAT,,
L0524,CDPQ,,
L0525,CAISSE DES DEPOTS ET CONSIGNATIONS,,
L0526,CAISSE FEDERALE DU CREDIT MUTUEL DE BRETAGNE,,
L0527,CAISSE FEDERALE DU CREDIT MUTUEL OCEAN,,
L0528,CAISSE NATIONALE DE CREDIT AGRICOLE,,
L0529,CAIXA D'ESTALVIS DE CATALUNYA,,
L0530,CAIXA D'ESTAVIS I MONT DE PIETAT,,
L0531,CAIXA DE BARCELONA,,
L0532,CAIXA DE CATALUNYA,,
L0533,CAIXA DE PENSIONES,,
L0534,CAICA DE PENSIONS 'LA CAIXA',,
L0535,CAIXA GERAL DE DEPOSITOS,,
L0536,CAJA AHORROS Y MONTE PIEDAD ZARAGOZA,,
L0537,CAJA BARNA,,
L0538,CAJA DE AHORROS DE GALICIA,,
L0539,CAJA DE AHORRONS DE SORIA,,
L0540,CAJA DE AHORRONS DE ALBACETE,,
L0541,CAJA DE AHORRONS DE CASTILLON,,
L0542,CAJA DE AHORRONS DE CATALUNA,,
L0543,CAJA DE AHORRONS DE CUENCA,,
L0544,CAJA DE AHORRONS DE LEON,,
L0545,CAJA DE AHORRONS DE ORENSE,,
L0546,CAJA DE AHORRONS DE PAMPLONA,,
L0547,CAJA DE AHORRONS DE SABADELL,,
L0548,CAJA DE ABORROS DE PENEDES,,
L0549,CAJA DE ABORROS LAYETRANA,,
L0550,CAJA DE AHORROS MUNICIPAL DE BILBAO,,
L0551,CAJA DE AHORROS MUNICIPAL DE BURGOS,,
L0552,CAJA DE AHORRONS DE SAN SEBASTIAN,,
L0553,CAJA DE AHORROS PROVINCIAL DE ALAVA,,
L0554,CAJA DE AHORROS PROVINCIAL DE GUIPUZCOA,,
L0555,CAJA PROVINCIAL DE ZAMORA,,
L0556,CAJA DE AHORROS VIZCAINA,,
L0557,CAJA AHORROS MONTE PIEDAD BARCELONA,,
L0558,CAJA A CADIZ,,
L0559,CAJA DE ABORNOS Y MONTE DE PIEDAD DE LA CUIDAD DE VITORIA,,
L0560,CAJA DE MADRID,,
