rssdid,bhcid,date,name
20464,0,19881231,MERCHANTS MARINE BK
20512,3962060,20150930,FIRST NB OF PORT ALLEGANY
20549,1070082,19890930,AMERITRUST NB HAMILTON
20558,1102590,19870930,MBANK GREENSPOINT NA
20576,2279453,19961231,LITCHFIELD CMNTY SVG SB
20633,2913083,20200331,MCNB BK&TC
20745,0,19880630,F&M BK ASHIPPUN
20754,1138816,20060930,STATE BK OF COLONY
20839,1085170,20080630,COLONY BK SE
20857,2466235,20200331,GRANITE FALLS BK
20866,2658508,20100630,HOME VALLEY BK
20941,1210703,19880930,CONTINENTAL IL BK
20950,1039502,19930930,TEXAS CMRC BK-BEAUMONT NA
21014,0,19850331,FARMERS CMNTY BK
21144,0,19930930,AMERICAN GEN FNCL CTR
21162,1030817,19910930,BANK OF SAN CLEMENTE
21256,0,20200331,STATE BK OF BURRTON
21274,1031597,19870930,WESTERN SECURITY BK
21359,1857760,20200331,AMERICAN ST BK OF GRYGLA
21407,1032473,19801231,BANKERS TRUST OF BINGHAMTON
21452,1101753,19870930,FIRST REPUBLICBANK BAYTOWN
21537,0,19990630,BAYERISCHE HYPO VEREINSBK CHGO
21555,1063918,19980630,FIRST NB
21630,2909554,20171231,TECHE B&TC
21658,1126082,20200331,ALLIANCE BK
21836,1076758,19771231,ATLANTIC NB OF DAVIE
21854,1034806,19890930,KEY BK OF WY RAWLINS
21939,1078752,19860331,COMMERCE UNION BK
21948,1026016,19960331,CONTINENTAL BK INTL
22039,0,20020331,SUMITOMO MITSUI BKG CHICAGO BR
22048,1098880,20200331,UNION B&TC
22057,1053272,19991231,PINNACLE BK
22150,1128198,19880630,FIRST NB OF MONDOVI
22217,1143632,19931231,BANK OF CHESTER CTY
22235,1085170,20080630,COLONY BK OF ASHBURN
22253,1093634,19851231,MARK TWAIN NORTHLAND BK
22356,2003975,20120331,FIRST BK OF WY
22440,0,19860930,CONTINENTAL BK INTL-CLVLND BR
22459,1054000,20110331,FIRST NB&TC OF LEAVENWORTH
22543,1245666,20200331,STATE SVG BK
22552,1137510,20200331,FIRST SOUTHEAST BK
22561,0,19831231,MID-COUNTY B&TC
22646,1204159,19880630,LIBERTY B&TC
22712,0,19800930,UTD JERSEY BK/OCEAN COUNTY
22730,3068289,20200331,WEST UNION BK
22758,1240296,19820930,SECURITY ST BK
22767,1030572,19950930,MARINERS BK
22851,1061398,19890630,BURR OAK ST BK
22860,0,20011231,NEXTBANK NA
22909,0,19970331,ADVEST BK
22936,2922348,20190331,FARMERS & MRCH BK
22954,1417333,20120630,FIRST NB
23036,1078846,20100331,CB&T BK OF MIDDLE GA
23045,0,20160630,WEST MI B&TC
23063,0,19940930,AMERICAN NB OF POTTSBORO
23157,0,19881231,SECURITY BK
23241,1132654,20110630,INTEGRA BK NA
23269,0,19910930,MISSION VALLEY BK NA
23335,0,19850331,FIRST NB OF NEWTON
23344,1120754,20020630,FIRST NB&TC BARABOO
23353,1049154,19910930,COLORADO NB NE
23410,1068294,19871231,BANK ONE ALLIANCE NA
23456,1125290,20200331,FIRST NB OF HENNING
23504,1416523,20200331,BNB BK
23540,1204627,20130331,OSWEGO CMNTY BK
23559,1100886,19851231,INTERFIRST BK BEAUMONT NA
23634,0,19960630,UNION BK OF SWITZERLAND-CHGO
23643,1098198,20200331,COMMERCIAL B&TC
23652,0,19940930,LINCOLN BK SOUTH
23728,1074875,19790930,CENTRAL FIDELITY BK NA
23755,1124118,20200331,FIRST NAT CMNTY BK
23812,1118425,20100930,FIRST NB OF CHESTER CTY
23867,0,19940930,UNITED AMER BK
23942,1096103,19880331,SECURITY BK
23951,1034806,19910331,KEY BK OF WY ROCK SPRINGS
24006,5079476,20200331,PCSB BK
24051,1249338,19880630,FIRST CITY BK - GATEWAY NA
24118,1129382,19901231,BANCO DE PONCE
24136,0,19830630,UNION NB CHICAGO
24154,1060252,19860930,LINCOLN BK EAST
24266,2516943,20070331,MID-STATE B&TC
24378,0,20200331,GALION BLDG & LOAN BK
24444,0,19840930,BANK OF CRENSHAW
24453,4365529,20200331,ROCKY MNT BK
24631,1023453,19811231,TRUST CO BK OF HOUSTON
24659,0,20200331,PRODUCE ST BK
24668,3488681,20200331,BTH BK NA
24725,0,19831231,CHERRYVILLE NB
24743,1068294,19921231,BANK ONE PLAINFIELD NA
24752,1100550,19870331,TEXAS COMMERCE BK - LAKESIDE
24837,1120754,20200331,WELLS FARGO INTL BKG CORP
24855,0,20151231,FIRST NB
24864,1028560,19930930,BANK OF SAN DIEGO
24949,1209248,20200331,BARABOO ST BK
25003,1115312,19891231,BELKNAP B&TC
25012,0,20131231,ROYAL BK OF SCOTLAND NV NY BR
25058,1049341,19960331,COMMERCE BK
25076,1025701,19871231,OLD NB OF WA
25133,0,19980930,BANK OF GA
25151,1120754,19871231,NORWEST BK METROWEST NA
25160,1132113,19920930,FREEDOM BK
25236,1131787,19930630,HILLSBORO SUN BK
25254,1102590,19870630,MBANK GREENWAY
25357,0,20200331,ALL AMER BK
25450,1068294,20020630,BANK ONE CO NA
25647,2805544,20200331,FIRST SECURE B&TC
25656,1249338,19880630,FIRST CITY BK - CENTRAL
25713,0,19840930,ROYAL BK OF CANADA MAYAGUEZ BR
25740,0,19840331,MORRILTON SECURITY BK
25759,1120754,20000630,NATIONAL BK OF CMRC TR&SA
25825,1074156,19990630,BANK OF CARROLL
25852,1121733,20071231,S&C BK
25937,0,19860930,SUN BK MARTIN COUNTY NA
25955,1094154,19850331,BOATMENS BK OF LADUE
26103,0,19911231,DOLLAR DRY DOCK BANK
26149,1245460,20110630,PALMER BK
26158,1101632,19830331,ALLIES BK BEAUMONT
26176,3260841,20200331,BROADWAY FED BK FSB
26233,1204346,20061231,FIRST NB
26242,1098415,20190331,INTEGRITY FIRST BK NA
26363,1028935,19891231,AMERICAN NB
26448,0,19880930,CITIZENS BK OF PORTLAND
26457,1053339,20200331,LA MONTE CMNTY BK
26523,1071968,19961231,FIRST VA BK-CENTRAL MD
