,original_index,PKGID,ORDER,BORROWERID,BORROWER,CLEAN_BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,CLUSTER,IMPUTED,,
621,621,197603001,1,B0061,ADELA INTERNATIONAL FINANCING COMPANY S.A,ADELA INTERNATIONAL FINANCING COMPANY SA,,LUXEMBOURG,LUX,K64,1510,0,,
1352,1352,197803002,1,B0061,ADELA INTERNATIONAL FINANCING COMPANY,ADELA INTERNATIONAL FINANCING COMPANY,,LUXEMBOURG,LUX,U99,1509,0,,
1465,1465,197805015,1,B0061,ADELA INTERNATIONAL FINANCING COMPANY,ADELA INTERNATIONAL FINANCING COMPANY,,LUXEMBOURG,LUX,U99,1509,0,,
1748,1748,197811001,1,B0061,ADELA INTERNATIONAL FINANCING COMPANY SA,ADELA INTERNATIONAL FINANCING COMPANY SA,,LUXEMBOURG,LUX,U99,1510,0,,
2198,2198,197906001,1,B0061,ADELA INTERNATIONAL FINANCING CO,ADELA INTERNATIONAL FINANCING CO,,,LUX,U99,1466,3,,
7795,7795,198503003,1,B0062,ADELAIDE STEAMSHIP CO LTD,ADELAIDE STEAMSHIP CO LTD,,AUSTRALIA,AUS,H50,1874,0,,
9415,9415,198608004,1,B0062,ADELAIDE STEAMSHIP CO LTD,ADELAIDE STEAMSHIP CO LTD,,AUSTRALIA,AUS,H50,1874,0,,
6903,6903,198404044,1,B0063,ADENA CORPORATION,ADENA CORPORATION,,UNITED STATES,USA,Unknown,4135,1,,
653,653,197604002,1,B0064,"ADMINISTRACIAO NACIONAL DE COMBUSTIBLES,ALCOHOL Y PORTALAND",ADMINISTRACIAO NACIONAL DE COMBUSTIBLESALCOHOL Y PORTALAND,,URUGUAY,URY,C19,1127,0,,
5175,5175,198206002,1,B0065,ADMINISTRACION NACIONAL DE TELECOMUNICACIONES,ADMINISTRACION NACIONAL DE TELECOMUNICACIONES,,URUGUAY,URY,J61,1128,0,,
13907,13907,198909058,1,B0066,ADMIRAL HOMES,ADMIRAL HOMES,,UNITED KINGDOM,GBR,I55,7157,0,,
8556,8556,198511050,1,B0067,ADMIRALITY DEVELOPMENT LTD,ADMIRALITY DEVELOPMENT LTD,,HONG KONG,HKG,L68,4013,0,,
12059,12059,198804019,1,B0067,ADMIRALTY DEVELOPMENT,ADMIRALTY DEVELOPMENT,ADL,HONG KONG,HKG,F41,3991,0,,
13763,13763,198908014,1,B0067,ADMIRALITY DEVELOPMENT,ADMIRALITY DEVELOPMENT,,HONG KONG,HKG,F41,3988,0,,
13868,13868,198909019,1,B0067,ADMIRALITY DEVELOPMENT,ADMIRALITY DEVELOPMENT,,HONG KONG,HKG,F41,3988,0,,
13202,13202,198901011,1,B0068,ADT FINANCE,ADT FINANCE,,BERMUDA,BMU,K64,2094,0,,
13962,13962,198910013,1,B0068,ADT FINANCE,ADT FINANCE,,BERMUDA,BMU,K64,2094,0,,
13963,13963,198910014,1,B0068,ADT FINANCE,ADT FINANCE,,BERMUDA,BMU,K64,2094,0,,
13964,13964,198910015,1,B0068,ADT FINANCE,ADT FINANCE,,BERMUDA,BMU,K64,2094,0,,
10169,10169,198702003,1,B0069,ADVANCE BANK AUSTRALIA LTD,ADVANCE BANK AUSTRALIA LTD,,AUSTRALIA,AUS,K64,381,0,,
4730,4730,198202001,1,B0070,AECI LTD,AECI LTD,,SOUTH AFRICA,ZAF,C20,2547,0,,
1659,1659,197809003,1,B0071,AEESITA STEEL CO,AEESITA STEEL CO,,,Unknown,C24,5699,2,,
1749,1749,197811002,1,B0072,AEG TELEFUNKEN SIPA,AEG TELEFUNKEN SIPA,,,Unknown,Unknown,7729,3,,
