,PKGID,ORDER,BORROWERID,BORROWER,ABBR,COUNTRY,COUNTRYISO3,ISIC,TYPE,PURPOSE,IMPUTED
10115,198701069,1,B4361,PETROLEOS DE PORTUGAL EP,,PORTUGAL,PRT,B06,,,0
10116,198701070,1,B0474,AUTOPISTAS DEL ATLANTICO,,SPAIN,ESP,F43,,,0
10117,198701071,1,B0475,AUTOPISTAS DEL MARE NOSTRUM SA,,SPAIN,ESP,F43,,,0
10118,198701072,1,B0553,BANCO DE BILBAO,,SPAIN,ESP,K64,,,0
10119,198701073,1,B2737,HIDROELECTRICA DE CATALUNE SA,HECSA,SPAIN,ESP,D35,,,0
10120,198701074,1,B2737,HIDROELECTRICA DE CATALUNE SA,HECSA,SPAIN,ESP,D35,,,0
10121,198701075,1,B2740,HIDROELECTRICA IBERICA IBERDUERO,,SPAIN,ESP,D35,,,0
10122,198701076,1,B2740,HIDROELECTRICA IBERICA IBERDUERO,,SPAIN,ESP,D35,,,0
10123,198701077,1,B5280,SSAB SWEDISH STEEL CORP,,SPAIN,ESP,C24,,,0
10124,198701078,1,B0748,BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,,SUPRANATIONAL,,K64,,,2
10125,198701079,1,B2087,EUROPEAN ATOMIC ENERGY COMMUNITY,,SUPRANATIONAL,,U99,,,2
10126,198701080,1,B4020,NORDIC INVESTMENT BANK,,FINLAND,FIN,U99,,,2
10127,198701081,1,B5280,SSAB SWEDISH STEEL CORP,,SWEDEN,SWE,C24,,,0
10128,198701082,1,B1181,CENTRAL BANK OF TURKEY,,TURKEY,TUR,K64,,,0
10129,198701083,1,B1181,CENTRAL BANK OF TURKEY,,TURKEY,TUR,K64,,,0
10130,198701084,1,B2542,GREATER CITY OF ISTANBUL MUNICIPALITY,,TURKEY,TUR,O84,,,0
10131,198701085,1,B4457,PORTION 1 PUBLIC PARTICIPATION FUND,,TURKEY,TUR,,,,1
10132,198701086,1,B1181,PORTION 2 CENTRAL BANK OF TURKEY,,TURKEY,TUR,K64,,,0
10133,198701087,1,B5654,TURK DIS TICARET BANKASI,,TURKEY,TUR,K64,,,0
10134,198701088,1,B6031,YAPI VE KREDI BANKASI AS,,TURKEY,TUR,K64,,,0
10135,198701089,1,B0024,ABBEY NATIONAL BUILDING SOCIETY,,UNITED KINGDOM,GBR,K64,,,0
10136,198701090,1,B0265,AMERSHAIM BENELUX BV,,UNITED KINGDOM,GBR,,,,1
10137,198701091,1,B0753,BARCLAYS MERCANTILE INDUSTRIAL FINANCE,,UNITED KINGDOM,GBR,K64,,,0
10138,198701092,1,B3116,J BIBBY & SONS PLC,,UNITED KINGDOM,GBR,C32,,,0
10139,198701093,1,B0956,BROADGATE (PHASE 3),,UNITED KINGDOM,GBR,N79,,,0
10140,198701094,1,B1018,CADBURY SCHWEPPES PLC,,UNITED KINGDOM,GBR,C10,,,0
10141,198701095,1,B2545,CITY OF GLASGOW,,UNITED KINGDOM,GBR,O84,,,0
10142,198701096,1,B2563,GRAND METROPOLITAN FINANCE PLC,,UNITED KINGDOM,GBR,L68,,,0
10143,198701097,1,B2664,HAMMERSON PROPERTY INVESTMENT & DEVELOPMENT CORP,,UNITED KINGDOM,GBR,K64,,,0
10144,198701098,1,B2821,HOUSE OF FRASER GROUP,,UNITED KINGDOM,GBR,G47,,,0
10145,198701099,1,B2821,HOUSE OF FRASER GROUP,,UNITED KINGDOM,GBR,G47,,,0
10146,198701100,1,B2545,LONDON BOROUGH OF CAMDEN,,UNITED KINGDOM,GBR,O84,,,0
10147,198701101,1,B4823,MONTAGU FINANCE LTD,,UNITED KINGDOM,GBR,K64,,,0
10148,198701102,1,B3889,NATIONAL HOME LOANS CORP,,UNITED KINGDOM,GBR,K64,,,0
10149,198701103,1,B5011,SIEBE PLC,,UNITED KINGDOM,GBR,F42,,,0
10150,198701104,1,B6046,YORKSHIRE BUILDING SOCIETY,,UNITED KINGDOM,GBR,K64,,,0
10151,198701105,1,B0245,AMERICAN AIRLINES NC,,UNITED STATES,USA,H51,,,0
10152,198701106,1,B0250,AMERICAN GENERAL CORP,,UNITED STATES,USA,K65,,,0
10153,198701107,1,B0772,BAXTER TRAVENOL LABORATORIES,,UNITED STATES,USA,C21,,,0
10154,198701108,1,B1814,DONALDSON LUFKIN & JENRETTE,,UNITED STATES,USA,K64,,,0
10155,198701109,1,B2221,FRIST BANK SYSTEM,,UNITED STATES,USA,K64,,,0
10156,198701110,1,B2372,GENERAL DEVELOPMENT CORP,,UNITED STATES,USA,L68,,,0
